Source Page,Link Text,Link URL
https://www.nyc.gov/site/queenscb2/about/about-qcb2.page,https://www.nyc.gov/site/queenscb2/about/about-qcb2.page,https://www.nyc.gov/site/queenscb2/about/about-qcb2.page
https://www.nyc.gov/site/queenscb2/about/about-qcb2.page,https://www.nyc.gov/site/queenscb2/about/about-qcb2.page,https://www.nyc.gov/site/queenscb2/about/about-qcb2.page
https://www.nyc.gov/site/queenscb2/about/about-qcb2.page,https://www.nyc.gov/site/queenscb2/about/about-qcb2.page,https://www.nyc.gov/site/queenscb2/about/about-qcb2.page
https://www.nyc.gov/site/queenscb2/about/about-qcb2.page,https://www.nyc.gov/site/queenscb2/about/about-qcb2.page,https://www.nyc.gov/site/queenscb2/about/about-qcb2.page
https://www.nyc.gov/site/queenscb2/about/about-qcb2.page,nyc.gov home,https://www.nyc.gov/main
https://www.nyc.gov/site/queenscb2/about/about-qcb2.page,Services,https://www.nyc.gov/main/services
https://www.nyc.gov/site/queenscb2/about/about-qcb2.page,Events,https://www.nyc.gov/main/events/
https://www.nyc.gov/site/queenscb2/about/about-qcb2.page,Your government,https://www.nyc.gov/main/your-government
https://www.nyc.gov/site/queenscb2/about/about-qcb2.page,311,https://portal.311.nyc.gov/
https://www.nyc.gov/site/queenscb2/about/about-qcb2.page,Contact NYC government,https://www.nyc.gov/main/your-government/contact-nyc-government
https://www.nyc.gov/site/queenscb2/about/about-qcb2.page,Register to vote,https://www.nycvotes.org/
https://www.nyc.gov/site/queenscb2/about/about-qcb2.page,Emergency alerts,https://a858-nycnotify.nyc.gov/notifynyc/
https://www.nyc.gov/site/queenscb2/about/about-qcb2.page,Careers,https://cityjobs.nyc.gov/
https://www.nyc.gov/site/queenscb2/about/about-qcb2.page,Website feedback,https://www.nyc.gov/main/forms/website-feedback
https://www.nyc.gov/site/queenscb2/about/about-qcb2.page,Accessibility resources,https://www.nyc.gov/site/mopd/resources/digital-accessibility.page
https://www.nyc.gov/site/queenscb2/about/about-qcb2.page,Privacy policy,https://www.nyc.gov/main/nyc-gov-privacy-policy
https://www.nyc.gov/site/queenscb2/about/about-qcb2.page,Terms of use,https://www.nyc.gov/main/terms-of-use
https://www.nyc.gov/site/queenscb2/about/about-qcb2.page,About nyc.gov content,https://www.nyc.gov/main/about-our-content
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,http://www1.nyc.gov,http://www1.nyc.gov
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,311,https://www.nyc.gov/311/index.page
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Search all NYC.gov websites,https://www.nyc.gov/home/search/index.page
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Menu,https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,https://www.nyc.gov/site/queenscb2/index.page,https://www.nyc.gov/site/queenscb2/index.page
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Text-Size,http://www1.nyc.gov/home/text-size.page
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Search,https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Home,https://www.nyc.gov/site/queenscb2/index.page
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,About,https://www.nyc.gov/site/queenscb2/about/about-qcb2.page
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Projects,https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Newsletters,https://www.nyc.gov/site/queenscb2/newsletters/newsletters.page
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Calendar,https://www.nyc.gov/site/queenscb2/calendar/calendar.page
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Meetings,https://www.nyc.gov/site/queenscb2/meetings/notices.page
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Resources,https://www.nyc.gov/site/queenscb2/resources/resources.page
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Current Projects & Issues,https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Letters of Support & Correspondence,https://www.nyc.gov/site/queenscb2/projects/letters-and-correspondence.page
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Expand All,javascript:expandAll();
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Collapse All,javascript:collapseAll();
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Ideas that Count - Volume 43,https://www.nyc.gov/assets/queenscb2/downloads/pdf/current-projects-issues/2020/Ideas-that-Count-Volume-43.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Ideas that Count - Volume 42,https://www.nyc.gov/assets/queenscb2/downloads/pdf/current-projects-issues/2020/Ideas-that-Count-Volume-42.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,"Get Off The Bench Flyer February 27, 2020",https://www.nyc.gov/assets/queenscb2/downloads/pdf/current-projects-issues/get_off_the_bench_flyer_feb_27_2020.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Census 2020 Citi Field and the Amazin Mets to host a city wide recruiting event,https://www.nyc.gov/assets/queenscb2/downloads/pdf/current-projects-issues/census_2020_citi_field_and_the_amazin_mets_to_host_a_city_wide_recruiting_event.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,2020 Census Frequently Asked Questions,https://www.nyc.gov/assets/queenscb2/downloads/pdf/current-projects-issues/2020/2020_census_frequently_asked_questions.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Ideas that count,https://www.nyc.gov/assets/queenscb2/downloads/pdf/current-projects-issues/2020/ideas_that_count.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,2020 Census,https://www.nyc.gov/assets/queenscb2/downloads/pdf/projects/census_2020.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Office of the Comptroller - Audit Report for the MTA - Oversight of Access A Ride Program,https://www.nyc.gov/assets/queenscb2/downloads/pdf/Audit-Report-Oversight-of-Access-A-Ride-Program.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Affordable Housing - 45-07 45th Street,https://www.nyc.gov/assets/queenscb2/downloads/pdf/projects/2025/Affordable-Housing-45-07-45th-Street.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Affordable Housing 43-25 52nd Street,https://www.nyc.gov/assets/queenscb2/downloads/pdf/2025/Affordable-Housing-43-25-52nd-Street.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,https://www.nyc.gov/assets/queenscb2/downloads/pdf/2025/Affordable-Housing-43-14-Queens-Street-Long-Island-City-NY-11101.pdf,https://www.nyc.gov/assets/queenscb2/downloads/pdf/2025/Affordable-Housing-43-14-Queens-Street-Long-Island-City-NY-11101.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,F-2 (Rental Advertisement) 2638 Jackson Avenue,https://www.nyc.gov/assets/queenscb2/downloads/pdf/2025/F-2-RENTAL-ADVERTISEMENT-2638-Jackson-Avenue-2.13.25-FINAL.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Affordable Housing - 2-21 Malt Drive,https://www.nyc.gov/assets/queenscb2/downloads/pdf/2025/Affordable-Housing-2-21-Malt-Drive.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Affordable Housing - 72-01 Queens Boulevard,https://www.nyc.gov/assets/queenscb2/downloads/pdf/2024/Affordable-Housing-72-01-Queens-Boulevard-Deadline-is-1-23-2025.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,"Affordable Housing - 23-10 42nd Road, LIC",https://www.nyc.gov/assets/queenscb2/downloads/pdf/2024/Affordable-Housing-23-10-42nd-Road-LIC.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Affordable Housing - 39-11 Queens Boulevard,https://www.nyc.gov/assets/queenscb2/downloads/pdf/2024/Affordable-Housing-39-11-Queens-Boulevardpdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Affordable Housing Application 27-01 Jackson Avenue,https://www.nyc.gov/assets/queenscb2/downloads/pdf/2024/AFFORDABLE-Housing-Application-27-01-Jackson-Avenue.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,"Affordable Housing 8 Court Sq. submit by June 13, 2023",https://www.nyc.gov/assets/queenscb2/downloads/pdf/projects/2023/Affordable-Housing-8-Court-Sq-submit-by-June-13-2023.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Affordable Housing - 42-17 48th Avenue,https://www.nyc.gov/assets/queenscb2/downloads/pdf/projects/2023/Affordable-Housing-42-17-48th-Avenue.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Affordable Housing Units 46-09 69th Street and 46-10 70th Street,https://www.nyc.gov/assets/queenscb2/downloads/pdf/projects/2023/Affordable-Housing-Units-46-09-69th-Street-and-46-10-70th-Street.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Affordable Housing Open for Applications at 55 Summit,https://www.nyc.gov/assets/queenscb2/downloads/pdf/projects/55-Summit-street.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Affordable Housing at 45-57 Davis Avenue,https://www.nyc.gov/assets/queenscb2/downloads/pdf/projects/Affordable-Housing-at-45-57-Davis-Avenue.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Gotham Point North Tower Advertisement CHINESE,https://www.nyc.gov/assets/queenscb2/downloads/pdf/projects/Gotham-Point-North-Tower-Advertisement-CHINESE.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Gotham Point North Tower Advertisement ENGLISH,https://www.nyc.gov/assets/queenscb2/downloads/pdf/projects/Gotham-Point-North-Tower-Advertisement-ENGLISH.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Gotham Point North Tower Advertisement SPANISH,https://www.nyc.gov/assets/queenscb2/downloads/pdf/projects/Gotham-Point-North-Tower-Advertisement-SPANISH.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,"Affordable Housing Application - 43-46, 51st st, Queens, New York, 11377",https://www.nyc.gov/assets/queenscb2/downloads/pdf/affordable-housing/affordable-housing-application-43-46-51st-st-queens-new-york-11377.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Gotham Point North Tower - Mixed Middle HC2,https://www.nyc.gov/assets/queenscb2/downloads/pdf/projects/Gotham-Point-North-Tower_Mixed_Middle_HC2.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Affordable Housing Applications The Green House 10-27 Jackson Av,https://www.nyc.gov/assets/queenscb2/downloads/pdf/projects/affordable-housing-applications-the-green-house-10-27-jackson-av.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Woodysun 44-20 64th Street,https://www.nyc.gov/assets/queenscb2/downloads/pdf/projects/Woodysun-44-20-64th-Street.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,5203 ATTACHMENT F-2 (RENTAL AD),https://www.nyc.gov/assets/queenscb2/downloads/pdf/affordable-housing/5203-ATTACHMENT-F-2-RENTAL-AD-ENG-Final-Approved.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,"Affodable Housing Notice 45-07 48 Avenue Deadline May 7, 2021",https://www.nyc.gov/assets/queenscb2/downloads/pdf/current-projects-issues/2021/Affodable-Housing-Notice-45-07-48-Avenue-Deadline-May-7-2021.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,StuyTown Lottery Now Open,https://www.nyc.gov/assets/queenscb2/downloads/pdf/stuytown_lottery_now_open.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,5 Pointz LIC Affordable Housing Information,https://www.nyc.gov/assets/queenscb2/downloads/pdf/5_pointz_lic_affordable_housing_information.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,5241 Center Boulevard Affordable Housing Notice,https://www.nyc.gov/assets/queenscb2/downloads/pdf/5241_center_Boulevard__affordable_housing_notice.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,ATTACHMENT F-2 (RENTAL AD) 01-2020_ENG_5241_Final for translation_26H,https://www.nyc.gov/assets/queenscb2/downloads/pdf/current-projects-issues/attachment_f-2_rental_ad_01-2020_eng_5241_final_for_translation_26h.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,TFC_HPS_5241-Center-Boulevard_Flyer,https://www.nyc.gov/assets/queenscb2/downloads/pdf/current-projects-issues/TFC_HPS_5241-Center-Boulevard_Flyer.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,2020-10-09_HPS_Flyer_V11,https://www.nyc.gov/assets/queenscb2/downloads/pdf/current-projects-issues/2020-10-09_HPS_Flyer_V11.jpg
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Affordable Housing Lottergy  for New Cove Rental Building in LIC 43-12 Hunter Street,https://www.nyc.gov/assets/queenscb2/downloads/pdf/current-projects-issues/affordable_housing_lottergy__for_new_cove_rental_building_in_lic_43-12_hunter_street.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Affordable Housing Lottery Notice 43-12 Hunter Street LIC,https://www.nyc.gov/assets/queenscb2/downloads/pdf/current-projects-issues/2020/affordable_housing_lottery_notice_4312_hunter_street_lic.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,"5241 Center Boulevard Affordable Housing Application deadline Nov. 23, 2020",https://www.nyc.gov/assets/queenscb2/downloads/pdf/current-projects-issues/2020/5241_center_Boulevard_affordable_housing_application_deadline_nov_23_2020.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,IAffordNY - Affordable Housing 42-10 27th Street,https://www.nyc.gov/assets/queenscb2/downloads/pdf/iaffordny_affordable_housing_42_10_27th_street.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,"52-22 Roosevelt Avenue, Woodside, NY Affordable Housing for Rent",https://www.nyc.gov/assets/queenscb2/downloads/pdf/52-22_roosvelt_ave_woodside_ny_affordable_housing_for_rent.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Affordable Housing Rental,https://www.nyc.gov/assets/queenscb2/downloads/pdf/affordable_housing_rental.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,69-17 38th Ave Apartments,https://www.nyc.gov/assets/queenscb2/downloads/pdf/affordable-housing/hpd_affordable_housing_advertisement_re_69_17_38th_avewoodside_apt_number_2_revised.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,47-16 Greenpoint Ave Apartments,https://www.nyc.gov/assets/queenscb2/downloads/pdf/affordable-housing/47_16_greenpoint_avenue_queens_sunnyside.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,10-44 Jackson Avenue Apartments Advertisement FINAL 8.16.18,https://www.nyc.gov/assets/queenscb2/downloads/pdf/10_44_jackson_avenue_apartments_advertisement_final_8.16.18.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Affordable Housing Application 11-39 49th Ave.,https://www.nyc.gov/assets/queenscb2/downloads/pdf/affordable_housing_application_11_39_49th_ave.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,22-22 Jackson Avenue Apartments,https://www.nyc.gov/assets/queenscb2/downloads/pdf/affordable-housing/22-22-jackson-avenue-apartments.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,DCP Anable Basin Rezoning Proposal,https://www.nyc.gov/assets/queenscb2/downloads/pdf/dcp_anable_basin_rezoning_proposal.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Anable Basin Rezoning,https://www.nyc.gov/assets/queenscb2/downloads/pdf/anable_basin_rezoning.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Drawing A-1 page 1 Site Plan Exisitng Proposed Condition,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/Drawing-A-1-pg-1-Site-Plan-Existing-Proposed-Conditions.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Drawing A-1 Site Plan Existing Proposed Conditions Approved,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/Drawing-A-1-Site-Plan-Existing-Proposed-Conditions.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Drawing A-2 Elevation Section 68 01 Queens Boulevard,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/Drawing-A-2-Elevation-Section-68-01-Queens-Boulevardpdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Drawing A-2 page 2 Elevation and Section,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/Drawing-A-2-pg2-Elevation-and-Section.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Map Colorful 68 01 Queens Boulevard Block 1348 Lot 53,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/Map-Colorful-68-01-Queens-Boulevard-Block-1348-Lot-53.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,NYC Digital Tax Map,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/NYC-Digital-Tax-Map.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Rothkrug Rothkrug Spector LLP 68 01-05 Queens Boulevard,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/ROTHKRUG-ROTHKRUG-SPECTOR-LLP-68-01_05-Queens-Boulevardpdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,45-40 Vernon Boulevard (zip),https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/45-40_Vernon_Boulevardzip
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,45-50 Vernon Boulevard Presentation,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/22-0518-Vernon-Presentation.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,"BSA Calendar No. 233-15-BZ-45 Vernon Boulevard a/k/a Paragon Paint - 2777 Flatbush Avenue Queens, NY 11101",https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/2017-09-18-bsa-clock-submission.zip
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,BSA Application 60-11 Queens Boulevard,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/60-11-queens-Boulevardpdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,BSA Application 56-02 20th Street Broadway,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/56-02-20-broadway-queens.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,"BSA Calendar No 2016-4148-BZ 68-03 Roosevelt Avenue, Queens, NY",https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/68-03-roosevelt-avenue-queens-ny.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,BSA Application 45-26 51st Street,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/45-26-51st-street.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,"BSA 64-01 Woodside Avenue, Woodside, NY 11377",https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/64-01-woodside-avenue.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,BSA Application - Paragon Paint,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/00-bsa-application-cover-letter.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,BZ Application Form,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/00-bz-application-form.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,DOB Objections,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/01-dob-objections.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Affidavit of Ownership,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/02-affidavit-of-ownership.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Affidavit of Ownership Lot 10,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/02-affidavit-of-ownership-lot-10.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Statement of Facts,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/03-statement-of-facts.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Statement of Facts 2,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/03_statement_of_facts.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Certificates of Occupancy,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/05-certificates-of-occupancy.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Financial Feasibility Study,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/06-financial-feasibility-study.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Zoning Map,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/07-zoning-map.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,BSA Zoning Analysis Form,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/08-bsa-zoning-analysis-form.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Detailed Zoning Compliance Drawings,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/09-detailed-zoning-compliance-drawings.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Tax Map,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/10-tax-map.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Radius Diagram-Land Use Map,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/11-radius-diagram-land-use-map.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Photographs,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/12-photographs.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Existing Condition Plans,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/13-existing-condition-plans.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Conforming As-of-Right Plans,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/14-conforming-as-of-right-plans.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Proposed Conditions Plans,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/15-proposed-conditions-plans.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,List of Affected Property Owners and Tenants,https://www.nyc.gov/assets/queenscb2/downloads/pdf/bsa-application/16-list-of-affected-property-owners-and-tenants.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Queens Community Board 2 Statement of Needs Survey,https://www.nyc.gov/assets/queenscb2/downloads/pdf/2025/Flyer-capital-expense-budget.pdf
https://www.nyc.gov/site/queenscb2/projects/current-projects-issues.page,Capital and Expense Budget Priorities - Fiscal 2025,https://www.nyc.gov/assets/queenscb2/downloads/pdf/capital-and-expense/Capital-and-Expense-Budget-Priorities-2025.pdf
